Provinsi;Kab/Kota;Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen);Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun);Indeks Pembangunan Manusia;Tingkat Pengangguran Terbuka;Klasifikasi Kemiskinan
ACEH;Simeulue;18,98;7148;66,41;5,71;0
ACEH;Aceh Singkil;20,36;8776;69,22;8,36;1
ACEH;Aceh Selatan;13,18;8180;67,44;6,46;0
ACEH;Aceh Tenggara;13,41;8030;69,44;6,43;0
ACEH;Aceh Timur;14,45;8577;67,83;7,13;0
ACEH;Aceh Tengah;15,26;10780;73,37;2,61;0
ACEH;Aceh Barat;18,81;9593;71,67;7,09;0
ACEH;Aceh Besar;14,05;9644;73,58;7,7;0
ACEH;Pidie;19,59;9860;70,7;7,28;0
ACEH;Bireuen;13,25;8867;72,33;4,32;0
ACEH;Aceh Utara;17,43;8201;69,46;8,31;0
ACEH;Aceh Barat Daya;16,34;8428;66,99;4,04;0
ACEH;Gayo Lues;19,64;8856;67,56;1,84;0
ACEH;Aceh Tamiang;13,34;8367;69,48;5,87;0
ACEH;Nagan Raya;18,23;8292;69,31;4,99;0
ACEH;Aceh Jaya;13,23;9666;69,84;3,47;0
ACEH;Bener Meriah;19,16;11118;73,27;1,24;0
ACEH;Pidie Jaya;19,55;10290;73,6;3,57;0
ACEH;Kota Banda Aceh;7,61;16891;85,71;8,94;0
ACEH;Kota Sabang;15,32;11378;76,11;3,56;0
ACEH;Kota Langsa;10,96;12067;77,44;7,21;0
ACEH;Kota Lhokseumawe;11,16;11390;77,57;11,16;0
ACEH;Kota Subulussalam;17,65;7385;65,27;6,26;0
SUMATERA UTARA;Nias;16,82;6995;62,74;3,12;0
SUMATERA UTARA;Mandailing Natal;9,49;9771;67,19;6,12;0
SUMATERA UTARA;Tapanuli Selatan;8,8;11304;70,33;4;0
SUMATERA UTARA;Tapanuli Tengah;12,67;10138;69,61;7,24;0
SUMATERA UTARA;Tapanuli Utara;9,72;11710;73,76;1,54;0
SUMATERA UTARA;Toba Samosir;8,99;12224;75,39;0,83;0
SUMATERA UTARA;Labuhan Batu;8,74;11212;72,09;5,66;0
SUMATERA UTARA;Asahan;9,35;11030;70,49;6,39;0
SUMATERA UTARA;Simalungun;8,81;11376;73,4;4,17;0
SUMATERA UTARA;Dairi;8,31;10504;71,84;1,49;0
SUMATERA UTARA;Karo;8,79;12412;74,83;1,95;0
SUMATERA UTARA;Deli Serdang;4,01;12291;75,53;9,13;0
SUMATERA UTARA;Langkat;10,12;11142;71,35;5,12;0
SUMATERA UTARA;Nias Selatan;16,92;7041;62,35;3,91;0
SUMATERA UTARA;Humbang Hasundutan;9,65;8016;69,41;1,94;0
SUMATERA UTARA;Pakpak Bharat;9,35;8254;67,94;1,36;0
SUMATERA UTARA;Samosir;12,68;8504;70,83;0,7;0
SUMATERA UTARA;Serdang Bedagai;8,3;11017;70,56;3,93;0
SUMATERA UTARA;Batu Bara;12,38;10539;68,58;6,62;0
SUMATERA UTARA;Padang Lawas Utara;9,92;10055;70,11;3,19;0
SUMATERA UTARA;Padang Lawas;8,69;8921;68,64;4,07;0
SUMATERA UTARA;Labuhan Batu Selatan;8,53;11562;71,69;4,71;0
SUMATERA UTARA;Labuhan Batu Utara;10,02;11840;71,87;5,74;0
SUMATERA UTARA;Nias Utara;25,66;6155;62,82;3;1
SUMATERA UTARA;Nias Barat;26,42;5924;61,99;0,74;1
SUMATERA UTARA;Kota Sibolga;12,33;11540;73,94;8,72;0
SUMATERA UTARA;Kota Tanjung Balai;13,4;11225;68,94;6,59;0
SUMATERA UTARA;Kota Pematang Siantar;8,52;12436;79,17;11;0
SUMATERA UTARA;Kota Tebing Tinggi;10,3;12939;75,42;8,37;0
SUMATERA UTARA;Kota Medan;8,34;14999;81,21;10,81;0
SUMATERA UTARA;Kota Binjai;5,81;11063;76,01;7,86;0
SUMATERA UTARA;Kota Padangsidimpuan;7,53;10965;75,48;7,18;0
SUMATERA UTARA;Kota Gunungsitoli;16,45;8134;69,61;4,8;0
SUMATERA BARAT;Kepulauan Mentawai;14,84;6321;61,35;2,79;0
SUMATERA BARAT;Pesisir Selatan;7,92;9270;70,03;5,97;0
SUMATERA BARAT;Solok;8,01;10215;69,24;4,67;0
SUMATERA BARAT;Sijunjung;6,8;10389;67,86;3,57;0
SUMATERA BARAT;Tanah Datar;4,54;10616;72,46;4,63;0
SUMATERA BARAT;Padang Pariaman;7,22;11050;70,76;8,41;0
SUMATERA BARAT;Agam;6,85;9662;72,57;5,06;0
SUMATERA BARAT;Lima Puluh Kota;7,29;9668;69,68;2,25;0
SUMATERA BARAT;Pasaman;7,48;8440;66,77;4,92;0
SUMATERA BARAT;Solok Selatan;7,52;10367;69,23;4,84;0
SUMATERA BARAT;Dharmasraya;6,67;11324;71,76;5;0
SUMATERA BARAT;Pasaman Barat;7,51;9089;68,76;5,02;0
SUMATERA BARAT;Kota Padang;4,94;14540;82,9;13,37;0
SUMATERA BARAT;Kota Solok;3,12;12168;78,41;5,15;0
SUMATERA BARAT;Kota Sawah Lunto;2,38;10195;72,88;6,38;0
SUMATERA BARAT;Kota Padang Panjang;5,92;10754;77,97;4,9;0
SUMATERA BARAT;Kota Bukittinggi;5,14;13331;80,7;6,09;0
SUMATERA BARAT;Kota Payakumbuh;6,16;13317;79,08;6,47;0
SUMATERA BARAT;Kota Pariaman;4,38;12818;77,07;6,09;0
RIAU;Kuantan Singingi;0,400694444;10309;70,6;2,06;0
RIAU;Indragiri Hulu;06.18;10260;70,01;3,32;0
RIAU;Indragiri Hilir;6,18;9945;66,63;2,66;0
RIAU;Pelalawan;9,63;11672;72,08;2,34;0
